DATE,GROSS SALES,OVER,SHORT,file_name,month,year
14,12744.5,0.0,0.0,festival kiosk.xls,6,2019
15,11722.0,0.0,0.0,festival kiosk.xls,6,2019
16,6418.5,0.0,0.0,festival kiosk.xls,6,2019
17,10459.0,0.0,0.0,festival kiosk.xls,6,2019
18,8565.25,0.0,0.0,festival kiosk.xls,6,2019
19,10703.0,0.0,0.0,festival kiosk.xls,6,2019
20,3301.0,0.0,0.0,festival kiosk.xls,6,2019
21,11351.5,0.0,0.0,festival kiosk.xls,6,2019
22,7447.5,0.0,0.0,festival kiosk.xls,6,2019
23,13854.5,0.0,0.0,festival kiosk.xls,6,2019
24,7674.5,0.0,0.0,festival kiosk.xls,6,2019
25,3343.5,0.0,0.0,festival kiosk.xls,6,2019
26,2252.5,0.0,0.0,festival kiosk.xls,6,2019
27,10546.0,0.0,0.0,festival kiosk.xls,6,2019
28,3133.5,0.0,0.0,festival kiosk.xls,6,2019
29,6708.5,0.0,0.0,festival kiosk.xls,6,2019
30,8760.0,0.0,0.0,festival kiosk.xls,6,2019
1,4787.5,0.0,100.0,festival kiosk.xls,7,2019
2,1895.0,0.0,0.0,festival kiosk.xls,7,2019
3,3359.0,0.0,0.0,festival kiosk.xls,7,2019
4,4033.0,0.0,0.0,festival kiosk.xls,7,2019
5,2999.5,0.0,0.0,festival kiosk.xls,7,2019
6,8618.5,0.0,0.0,festival kiosk.xls,7,2019
7,8719.5,0.0,0.0,festival kiosk.xls,7,2019
8,5330.0,0.0,0.0,festival kiosk.xls,7,2019
9,5904.5,0.0,0.0,festival kiosk.xls,7,2019
10,2967.5,0.0,0.0,festival kiosk.xls,7,2019
11,8570.0,0.0,0.0,festival kiosk.xls,7,2019
12,8117.0,0.0,0.0,festival kiosk.xls,7,2019
13,8724.0,0.0,0.0,festival kiosk.xls,7,2019
14,13377.0,0.0,0.0,festival kiosk.xls,7,2019
15,4940.0,0.0,0.0,festival kiosk.xls,7,2019
16,2952.5,0.0,0.0,festival kiosk.xls,7,2019
17,3520.5,0.0,0.0,festival kiosk.xls,7,2019
18,5664.0,0.0,0.0,festival kiosk.xls,7,2019
19,4095.25,0.0,0.0,festival kiosk.xls,7,2019
20,11156.0,0.0,0.0,festival kiosk.xls,7,2019
21,9725.25,0.0,0.0,festival kiosk.xls,7,2019
22,2501.25,0.0,0.0,festival kiosk.xls,7,2019
23,1685.0,0.0,0.0,festival kiosk.xls,7,2019
24,3970.0,0.0,100.0,festival kiosk.xls,7,2019
25,5073.5,0.0,0.0,festival kiosk.xls,7,2019
26,3160.5,0.0,0.5,festival kiosk.xls,7,2019
27,9421.5,0.0,0.0,festival kiosk.xls,7,2019
28,4654.0,0.0,200.0,festival kiosk.xls,7,2019
29,3687.5,0.0,0.0,festival kiosk.xls,7,2019
30,916.0,0.0,0.0,festival kiosk.xls,7,2019
31,3019.5,0.0,0.0,festival kiosk.xls,7,2019
1,2332.5,0.0,0.0,festival kiosk.xls,8,2019
2,2582.5,0.0,0.0,festival kiosk.xls,8,2019
3,2500.25,0.0,0.0,festival kiosk.xls,8,2019
4,8187.5,0.0,0.0,festival kiosk.xls,8,2019
5,1873.5,0.0,0.0,festival kiosk.xls,8,2019
6,8810.0,0.0,0.0,festival kiosk.xls,8,2019
7,1097.15,0.1,0.0,festival kiosk.xls,8,2019
8,2653.15,0.0,0.0,festival kiosk.xls,8,2019
9,2010.0,0.0,0.0,festival kiosk.xls,8,2019
10,4693.5,0.0,0.0,festival kiosk.xls,8,2019
11,8454.0,0.0,0.0,festival kiosk.xls,8,2019
12,5327.25,0.0,0.0,festival kiosk.xls,8,2019
13,1841.0,0.0,0.0,festival kiosk.xls,8,2019
14,3580.0,0.0,0.0,festival kiosk.xls,8,2019
15,6449.5,0.0,0.0,festival kiosk.xls,8,2019
16,3290.65,0.0,0.0,festival kiosk.xls,8,2019
17,2800.0,0.0,0.0,festival kiosk.xls,8,2019
18,10077.0,0.0,0.0,festival kiosk.xls,8,2019
19,3450.0,0.0,0.0,festival kiosk.xls,8,2019
20,11305.0,0.0,0.0,festival kiosk.xls,8,2019
21,15879.0,0.0,0.0,festival kiosk.xls,8,2019
22,1395.0,0.0,0.0,festival kiosk.xls,8,2019
23,4017.5,0.0,0.0,festival kiosk.xls,8,2019
24,4366.5,0.0,0.0,festival kiosk.xls,8,2019
25,8767.0,0.0,0.0,festival kiosk.xls,8,2019
26,2478.0,0.0,0.0,festival kiosk.xls,8,2019
27,140.0,0.0,0.0,festival kiosk.xls,8,2019
28,4848.5,0.0,0.0,festival kiosk.xls,8,2019
29,4135.0,0.0,0.0,festival kiosk.xls,8,2019
30,10594.5,0.0,0.0,festival kiosk.xls,8,2019
31,6930.5,0.0,0.0,festival kiosk.xls,8,2019
1,16825.0,0.0,0.0,festival kiosk.xls,9,2019
2,1625.0,0.0,0.0,festival kiosk.xls,9,2019
3,3317.5,0.0,0.0,festival kiosk.xls,9,2019
4,2485.5,0.0,0.0,festival kiosk.xls,9,2019
5,4274.0,0.0,0.0,festival kiosk.xls,9,2019
6,1575.0,0.0,0.0,festival kiosk.xls,9,2019
7,10069.5,0.0,0.0,festival kiosk.xls,9,2019
8,17647.65,0.0,27.0,festival kiosk.xls,9,2019
9,7357.5,0.0,0.0,festival kiosk.xls,9,2019
10,9371.0,0.0,0.0,festival kiosk.xls,9,2019
11,4160.0,0.0,0.0,festival kiosk.xls,9,2019
12,630.0,0.0,0.0,festival kiosk.xls,9,2019
13,6385.0,0.0,0.0,festival kiosk.xls,9,2019
14,9170.0,0.0,0.0,festival kiosk.xls,9,2019
15,7135.75,0.0,0.0,festival kiosk.xls,9,2019
16,8998.0,0.0,0.0,festival kiosk.xls,9,2019
17,5564.0,0.0,0.0,festival kiosk.xls,9,2019
18,5561.5,0.0,0.0,festival kiosk.xls,9,2019
19,4239.5,0.0,0.0,festival kiosk.xls,9,2019
20,3921.0,0.0,0.0,festival kiosk.xls,9,2019
21,11066.75,0.0,0.0,festival kiosk.xls,9,2019
22,11194.5,0.0,0.0,festival kiosk.xls,9,2019
23,5365.0,0.0,0.0,festival kiosk.xls,9,2019
24,7648.0,0.0,0.0,festival kiosk.xls,9,2019
25,2271.0,0.0,0.0,festival kiosk.xls,9,2019
26,5610.0,0.0,0.0,festival kiosk.xls,9,2019
27,9524.0,0.0,0.0,festival kiosk.xls,9,2019
28,7397.5,0.0,0.0,festival kiosk.xls,9,2019
29,7726.5,0.0,0.0,festival kiosk.xls,9,2019
30,3571.0,0.0,0.0,festival kiosk.xls,9,2019
1,1475.0,0.0,0.0,festival kiosk.xls,10,2019
2,7746.5,0.0,0.0,festival kiosk.xls,10,2019
3,3590.0,0.0,0.0,festival kiosk.xls,10,2019
4,7833.75,0.0,0.0,festival kiosk.xls,10,2019
5,6619.0,0.0,0.0,festival kiosk.xls,10,2019
6,6208.65,0.0,0.0,festival kiosk.xls,10,2019
7,2828.5,0.0,0.0,festival kiosk.xls,10,2019
8,2135.0,0.0,0.0,festival kiosk.xls,10,2019
9,1325.25,0.0,0.0,festival kiosk.xls,10,2019
10,2820.0,0.0,0.0,festival kiosk.xls,10,2019
11,4245.5,0.0,0.0,festival kiosk.xls,10,2019
12,4556.25,0.0,0.0,festival kiosk.xls,10,2019
13,8180.25,0.0,0.0,festival kiosk.xls,10,2019
14,2217.5,0.0,0.0,festival kiosk.xls,10,2019
15,1407.5,0.0,0.0,festival kiosk.xls,10,2019
16,5340.0,0.0,0.0,festival kiosk.xls,10,2019
17,7057.5,0.0,0.0,festival kiosk.xls,10,2019
18,7300.0,0.0,0.0,festival kiosk.xls,10,2019
19,9567.5,0.0,0.0,festival kiosk.xls,10,2019
20,15860.0,0.0,0.0,festival kiosk.xls,10,2019
