COST,GROSS PROFIT,GROSS SALES,file_name,month,year
44855.98,71024.26999999999,115880.25,cash & carry.xls,6,2019
59996.89,90837.24,150834.13,cash & carry.xls,7,2019
54459.57,86330.68,140790.25,cash & carry.xls,8,2019
48624.45,74925.8,123550.25,cash & carry.xls,9,2019
52709.44,75968.95999999999,128678.4,cash & carry.xls,10,2019
61553.55,81094.59999999999,142648.15,cash & carry.xls,11,2019
180440.66,240338.21,420778.87,cash & carry.xls,12,2019
75797.22,105260.78,181058.0,waltermart gen trias.xls,1,2019
94131.22,126521.28,220652.5,waltermart gen trias.xls,2,2019
97492.11,138103.39,235595.5,waltermart gen trias.xls,3,2019
69675.74,107030.76,176706.5,waltermart gen trias.xls,4,2019
73834.67,104838.83,178673.5,waltermart gen trias.xls,5,2019
86889.97,126643.53,213533.5,waltermart gen trias.xls,6,2019
111729.38,156097.12,267826.5,waltermart gen trias.xls,7,2019
92188.7,131425.55,223614.25,waltermart gen trias.xls,8,2019
79762.87,111450.38,191213.25,waltermart gen trias.xls,9,2019
71716.91,100482.95999999999,172199.87,waltermart gen trias.xls,10,2019
89580.94,114232.56,203813.5,waltermart gen trias.xls,11,2019
219568.76,280593.49,500162.25,waltermart gen trias.xls,12,2019
79990.95,107546.3,187537.25,pacific mall-mandaue.xls,1,2019
59640.28,77834.12,137474.4,pacific mall-mandaue.xls,2,2019
60442.57,87181.43,147624.0,pacific mall-mandaue.xls,3,2019
52595.73,75667.51999999999,128263.25,pacific mall-mandaue.xls,4,2019
70839.75,98904.26000000001,169744.01,pacific mall-mandaue.xls,5,2019
60372.85,84455.53,144828.38,pacific mall-mandaue.xls,6,2019
51327.94,79906.06,131234.0,pacific mall-mandaue.xls,7,2019
46827.85,70111.95999999999,116939.81,pacific mall-mandaue.xls,8,2019
44210.0,63627.95000000001,107837.95000000001,pacific mall-mandaue.xls,9,2019
59154.69,76175.31,135330.0,pacific mall-mandaue.xls,10,2019
91808.63,118891.04999999999,210699.68,pacific mall-mandaue.xls,11,2019
199969.26,270574.88,470544.14,pacific mall-mandaue.xls,12,2019
59928.13,80167.12,140095.25,isetann recto.xls,1,2019
73007.27,89835.73,162843.0,isetann recto.xls,2,2019
69289.65,96199.1,165488.75,isetann recto.xls,3,2019
52596.96,70837.54000000001,123434.5,isetann recto.xls,4,2019
65178.4,89712.85,154891.25,isetann recto.xls,5,2019
71108.47,102793.28,173901.75,isetann recto.xls,6,2019
57469.01,85117.23999999999,142586.25,isetann recto.xls,7,2019
58185.25,88465.25,146650.5,isetann recto.xls,8,2019
57241.98,80685.51999999999,137927.5,isetann recto.xls,9,2019
50057.37,73419.88,123477.25,isetann recto.xls,10,2019
60625.42,78142.58,138768.0,isetann recto.xls,11,2019
127358.1,163036.9,290395.0,isetann recto.xls,12,2019
129654.9,180758.85,310413.75,sm gensan.xls,1,2019
138074.05,197948.05,336022.1,sm gensan.xls,2,2019
154623.07,219532.71000000002,374155.78,sm gensan.xls,3,2019
151042.51,226256.33999999997,377298.85,sm gensan.xls,4,2019
169912.1,252520.45000000004,422432.55000000005,sm gensan.xls,5,2019
186680.98,275220.94999999995,461901.93,sm gensan.xls,6,2019
101878.56,159312.68999999997,261191.24999999997,sm gensan.xls,7,2019
115819.47,158522.55999999997,274342.02999999997,sm gensan.xls,8,2019
101322.75,139711.39,241034.14,sm gensan.xls,9,2019
117041.81,160171.57,277213.38,sm gensan.xls,10,2019
146717.98,187943.92,334661.9,sm gensan.xls,11,2019
492798.45,637180.6599999999,1129979.1099999999,sm gensan.xls,12,2019
123743.96,174252.66999999998,297996.63,starmall edsa.xls,1,2019
129449.96,174074.53999999998,303524.5,starmall edsa.xls,2,2019
133287.2,165962.05,299249.25,starmall edsa.xls,3,2019
116337.83,164709.16999999998,281047.0,starmall edsa.xls,4,2019
133693.28,188597.72,322291.0,starmall edsa.xls,5,2019
114517.3,164639.2,279156.5,starmall edsa.xls,6,2019
98216.3,139851.2,238067.5,starmall edsa.xls,7,2019
100854.4,141796.6,242651.0,starmall edsa.xls,8,2019
97727.13,148263.37,245990.5,starmall edsa.xls,9,2019
122197.16,155706.84,277904.0,starmall edsa.xls,10,2019
130154.95,166170.8,296325.75,starmall edsa.xls,11,2019
449080.25,554084.25,1003164.5,starmall edsa.xls,12,2019
78056.22,111560.18,189616.4,market market.xls,1,2019
84391.84,115587.85999999999,199979.69999999998,market market.xls,2,2019
54531.48,76329.07,130860.55,market market.xls,3,2019
52626.33,75652.92,128279.25,market market.xls,4,2019
50373.79,76800.10999999999,127173.9,market market.xls,5,2019
46490.63,72071.68999999997,118562.31999999998,market market.xls,6,2019
56023.67,79195.33,135219.0,market market.xls,7,2019
61037.32,85357.85,146395.17,market market.xls,8,2019
55574.04,73793.75999999998,129367.79999999999,market market.xls,9,2019
75890.9,106125.45999999999,182016.36,market market.xls,10,2019
84594.3,109310.95,193905.25,market market.xls,11,2019
263304.28,350024.87,613329.15,market market.xls,12,2019
221847.98,304407.27,526255.25,victory central.xls,1,2019
229379.43,287237.98000000004,516617.41000000003,victory central.xls,2,2019
216605.05,289670.08,506275.13,victory central.xls,3,2019
175351.99,238227.91000000003,413579.9,victory central.xls,4,2019
196914.68,270522.32,467437.0,victory central.xls,5,2019
201992.62,273377.56000000006,475370.18000000005,victory central.xls,6,2019
171493.06,242612.77000000002,414105.83,victory central.xls,7,2019
184565.94,255563.81,440129.75,victory central.xls,8,2019
188928.88,253938.87,442867.75,victory central.xls,9,2019
212079.77,271096.48,483176.25,victory central.xls,10,2019
204752.38,236377.27000000002,441129.65,victory central.xls,11,2019
578325.0,695962.25,1274287.25,victory central.xls,12,2019
58592.68,91228.32,149821.0,nccc tagum.xls,1,2019
52490.88,86862.25,139353.13,nccc tagum.xls,2,2019
51434.37,88327.13,139761.5,nccc tagum.xls,3,2019
70689.39,115134.11,185823.5,nccc tagum.xls,4,2019
104235.59,167166.16,271401.75,nccc tagum.xls,5,2019
106721.48,178574.77000000002,285296.25,nccc tagum.xls,6,2019
83684.39,133515.11,217199.5,nccc tagum.xls,7,2019
61507.2,96191.05,157698.25,nccc tagum.xls,8,2019
66104.98,101135.27,167240.25,nccc tagum.xls,9,2019
67832.56,114290.69,182123.25,nccc tagum.xls,10,2019
64191.15,96056.85,160248.0,nccc tagum.xls,11,2019
186313.89,276818.61,463132.5,nccc tagum.xls,12,2019
67205.5,93948.0,161153.5,gaisano surigao.xls,1,2019
79723.63,110773.87,190497.5,gaisano surigao.xls,2,2019
93121.26,140212.74,233334.0,gaisano surigao.xls,3,2019
79409.76,121959.24,201369.0,gaisano surigao.xls,4,2019
178996.51,283309.24,462305.75,gaisano surigao.xls,5,2019
80892.53,133116.97,214009.5,gaisano surigao.xls,6,2019
66457.5,114077.0,180534.5,gaisano surigao.xls,7,2019
63623.46,109480.54000000001,173104.0,gaisano surigao.xls,8,2019
75925.97,121915.53,197841.5,gaisano surigao.xls,9,2019
74666.63,110938.37,185605.0,gaisano surigao.xls,10,2019
99664.66,134984.36,234649.02,gaisano surigao.xls,11,2019
247796.28,349700.85,597497.13,gaisano surigao.xls,12,2019
37321.93,61008.07,98330.0,rob.santiago isabela.xls,1,2019
44859.58,68969.42,113829.0,rob.santiago isabela.xls,2,2019
59650.94,87961.56,147612.5,rob.santiago isabela.xls,3,2019
70991.3,114525.7,185517.0,rob.santiago isabela.xls,4,2019
72662.92,114632.80999999998,187295.72999999998,rob.santiago isabela.xls,5,2019
61146.1,95754.4,156900.5,rob.santiago isabela.xls,6,2019
47885.37,71227.63,119113.0,rob.santiago isabela.xls,7,2019
39425.79,67896.20999999999,107322.0,rob.santiago isabela.xls,8,2019
44284.19,76393.31,120677.5,rob.santiago isabela.xls,9,2019
67537.91,92109.59,159647.5,rob.santiago isabela.xls,10,2019
51869.79,88272.70999999999,140142.5,rob.santiago isabela.xls,11,2019
173407.85,238817.15,412225.0,rob.santiago isabela.xls,12,2019
93116.3,129064.09999999999,222180.4,rob.iloilo.xls,1,2019
72745.46,104993.29,177738.75,rob.iloilo.xls,2,2019
85966.81,121999.94,207966.75,rob.iloilo.xls,3,2019
77408.07,119260.57999999999,196668.65,rob.iloilo.xls,4,2019
79430.58,124071.92,203502.5,rob.iloilo.xls,5,2019
76286.1,120063.9,196350.0,rob.iloilo.xls,6,2019
78928.2,128090.40000000001,207018.6,rob.iloilo.xls,7,2019
63578.76,91794.28999999998,155373.05,rob.iloilo.xls,8,2019
65890.64,99191.11,165081.75,rob.iloilo.xls,9,2019
74711.23,101715.67,176426.9,rob.iloilo.xls,10,2019
103713.01,130050.14,233763.15,rob.iloilo.xls,11,2019
227289.66,311638.89,538928.55,rob.iloilo.xls,12,2019
49377.35,68081.4,117458.75,central mall dasma.xls,1,2019
51277.63,70570.87,121848.5,central mall dasma.xls,2,2019
61291.79,85740.70999999999,147032.5,central mall dasma.xls,3,2019
39529.0,62248.5,101777.5,central mall dasma.xls,4,2019
60844.25,84800.25,145644.5,central mall dasma.xls,5,2019
67886.71,91607.54,159494.25,central mall dasma.xls,6,2019
70231.35,100381.79999999999,170613.15,central mall dasma.xls,7,2019
71273.52,101947.48,173221.0,central mall dasma.xls,8,2019
50446.11,76345.64,126791.75,central mall dasma.xls,9,2019
71247.48,94331.90000000001,165579.38,central mall dasma.xls,10,2019
71115.16,100628.84,171744.0,central mall dasma.xls,11,2019
148786.66,187776.63999999998,336563.3,central mall dasma.xls,12,2019
82435.84,105190.66,187626.5,j mall.xls,1,2019
71886.35,102033.4,173919.75,j mall.xls,2,2019
56515.82,81009.43,137525.25,j mall.xls,3,2019
50992.36,75228.14,126220.5,j mall.xls,4,2019
57019.73,84352.51999999999,141372.25,j mall.xls,5,2019
55849.02,84629.48000000001,140478.5,j mall.xls,6,2019
62186.69,91182.81,153369.5,j mall.xls,7,2019
69235.38,100601.15,169836.53,j mall.xls,8,2019
54831.11,85713.89,140545.0,j mall.xls,9,2019
55706.21,78335.79000000001,134042.0,j mall.xls,10,2019
60293.82,77479.68,137773.5,j mall.xls,11,2019
214282.5,284414.5,498697.0,j mall.xls,12,2019
139976.46,194452.94000000003,334429.4,gaisano kalibo.xls,1,2019
